"COUNTYFP","YEAR","County_Name","Facility_withdrawal_mg","Mean_Coeff","Unreported_Coeff_Based"
171,2011,"SHENANDOAH",79.554,11.8304519974572,941.16
175,2011,"SOUTHAMPTON",241.2895,11.0434849336055,2664.68
177,2011,"SPOTSYLVANIA",8.505,55.778916572181,474.4
181,2011,"SURRY",29.74,14.1589441033161,421.09
183,2011,"SUSSEX",41.1,11.4940687074363,472.41
193,2011,"WESTMORELAND",241.49,0.799417668435908,193.05
550,2011,"CHESAPEAKE CITY",1.739638,33.4573512502287,58.2
800,2011,"SUFFOLK CITY",142.75,0.739495119822749,105.56
1,2012,"ACCOMACK",3414.518315,0.433555704694594,1480.38
7,2012,"AMELIA",85.5,9.47046531782232,809.72
15,2012,"AUGUSTA",424.6243,3.50940304845818,1490.18
19,2012,"BEDFORD",11.55,8.02410256108611,92.68
31,2012,"CAMPBELL",57.88,2.1076279298765,121.99
33,2012,"CAROLINE",792.39,0.939539274710447,744.48
36,2012,"CHARLES CITY",405.611,7.88173475609148,3196.92
37,2012,"CHARLOTTE",15.3,16.5220574715091,252.79
41,2012,"CHESTERFIELD",22.9,2.1458914536244,49.14
43,2012,"CLARKE",46.58,2.81200919924463,130.98
47,2012,"CULPEPER",93.1449,17.9027531604714,1667.55
53,2012,"DINWIDDIE",17.00596,26.2272198173845,446.02
57,2012,"ESSEX",351.4,-0.563346159327348,-197.96
63,2012,"FLOYD",21.1,0.338022551053512,7.13
81,2012,"GREENSVILLE",32.252,2.5129200773035,81.05
83,2012,"HALIFAX",2.139,205.49750461966,439.56
85,2012,"HANOVER",560.29,3.32687745927574,1864.02
87,2012,"HENRICO",100.69,-1,-100.69
93,2012,"ISLE OF WIGHT",5.75,13.6411628324045,78.44
97,2012,"KING AND QUEEN",246.17,-0.243257516355705,-59.88
99,2012,"KING GEORGE",216.35,0.556703101239541,120.44
101,2012,"KING WILLIAM",352.326,3.31877773881157,1169.29
107,2012,"LOUDOUN",0.4321,191.683282493288,82.83
111,2012,"LUNENBURG",6.76,49.7066835799955,336.02
119,2012,"MIDDLESEX",88.8,8.50120598404053,754.91
121,2012,"MONTGOMERY",65.645,4.04705957155143,265.67
125,2012,"NELSON",424.98,0.207809112500824,88.31
127,2012,"NEW KENT",56.3,9.16176371829938,515.81
131,2012,"NORTHAMPTON",881.646009,4.51761404479922,3982.94
137,2012,"ORANGE",11,629.147573352573,6920.62
139,2012,"PAGE",51.94,5.34483097272663,277.61
143,2012,"PITTSYLVANIA",27.140785,46.1985613525427,1253.87
145,2012,"POWHATAN",4,57.1953169121042,228.78
