"Year","County_Code","name","PPT","Irrigation","parm_UnderTh","Unreported_Irrigation_based"
2005,167,"RUSSELL",343.64,164,118,20.61
2005,59,"FAIRFAX",213.16,295,101,31.73
2005,31,"CAMPBELL",258.01,250,130,34.61
2005,157,"RAPPAHANNOCK",257.6,250,95,25.29
2005,23,"BOTETOURT",327.68,180,77,14.76
2005,197,"WYTHE",312.36,196,55,11.48
2005,43,"CLARKE",251.84,256,94,25.62
2005,83,"HALIFAX",245.36,263,223,62.45
2005,800,"SUFFOLK CITY",290.35,218,109,25.3
2005,113,"MADISON",276,232,72,17.79
2005,163,"ROCKBRIDGE",292.92,215,59,13.51
2005,810,"VIRGINIA BEACH CITY",370.72,137,65,9.48
2005,15,"AUGUSTA",260.61,247,199,52.34
2005,45,"CRAIG",327.79,180,30,5.75
2005,181,"SURRY",295.9,212,65,14.67
2005,159,"RICHMOND",290.42,218,21,4.87
2005,153,"PRINCE WILLIAM",222.22,286,89,27.11
2005,199,"YORK",285.41,223,41,9.74
2005,7,"AMELIA",239.64,268,109,31.11
2005,119,"MIDDLESEX",314.86,193,26,5.34
2005,109,"LOUISA",230.81,277,90,26.55
2005,111,"LUNENBURG",214.66,293,61,19.03
2005,115,"MATHEWS",349.76,158,19,3.2
2005,191,"WASHINGTON",329.21,179,155,29.54
2005,29,"BUCKINGHAM",282.75,225,26,6.23
2005,33,"CAROLINE",259.58,248,79,20.86
2005,53,"DINWIDDIE",221.23,287,115,35.15
2005,141,"PATRICK",409.75,98,134,13.98
2005,177,"SPOTSYLVANIA",236.49,272,79,22.88
2005,35,"CARROLL",353.31,155,60,9.9
2005,57,"ESSEX",247.17,261,39,10.84
2005,41,"CHESTERFIELD",219.61,288,46,14.11
2005,125,"NELSON",302.77,205,145,31.65
2005,147,"PRINCE EDWARD",214.15,294,60,18.78
2005,97,"KING AND QUEEN",269.99,238,64,16.22
2005,179,"STAFFORD",235.5,272,25,7.24
2005,107,"LOUDOUN",272.51,235,242,60.56
2005,71,"GILES",315.84,192,32,6.54
2005,1,"ACCOMACK",359.29,149,58,9.2
2005,127,"NEW KENT",249.65,258,18,4.95
2005,185,"TAZEWELL",301.04,207,29,6.39
2005,21,"BLAND",322.57,185,21,4.14
2005,91,"HIGHLAND",304.23,204,9,1.96
2005,61,"FAUQUIER",252.25,256,217,59.16
2005,69,"FREDERICK",204.79,303,159,51.3
2005,17,"BATH",310.66,197,19,3.99
2005,3,"ALBEMARLE",263.9,244,168,43.65
2005,51,"DICKENSON",332.97,175,12,2.24
2005,49,"CUMBERLAND",268.01,240,27,6.9
2005,85,"HANOVER",210.04,298,278,88.22
2005,81,"GREENSVILLE",193.27,315,9,3.02
2005,5,"ALLEGHANY",311.65,196,11,2.3
2005,165,"ROCKINGHAM",251.42,257,350,95.78
2005,171,"SHENANDOAH",243.66,264,125,35.14
2005,145,"POWHATAN",220.08,288,32,9.81
2005,175,"SOUTHAMPTON",228.66,279,90,26.74
2005,139,"PAGE",254.71,253,47,12.66
2005,133,"NORTHUMBERLAND",355.16,153,10,1.63
2005,75,"GOOCHLAND",223.2,285,32,9.71
2005,65,"FLUVANNA",248.66,259,61,16.82
2005,95,"JAMES CITY",311.96,196,27,5.64
2005,63,"FLOYD",305.03,203,196,42.37
2005,149,"PRINCE GEORGE",220.78,287,8,2.44
2005,77,"GRAYSON",342.38,166,77,13.61
2005,131,"NORTHAMPTON",346.28,162,48,8.28
2005,137,"ORANGE",219.54,288,53,16.25
2005,79,"GREENE",296,212,47,10.61
2005,195,"WISE",344.29,164,15,2.62
2005,183,"SUSSEX",246.29,262,25,6.97
2005,87,"HENRICO",244.24,264,49,13.78
2005,101,"KING WILLIAM",245.29,263,17,4.76
2005,103,"LANCASTER",315.33,193,12,2.47
2005,187,"WARREN",205.08,303,70,22.59
2005,9,"AMHERST",326.89,181,36,6.94
2005,155,"PULASKI",288.04,220,28,6.56
2005,19,"BEDFORD",273.82,234,159,39.62
2005,173,"SMYTH",312.17,196,66,13.78
2006,67,"FRANKLIN",319.47,189,242,48.7
2006,37,"CHARLOTTE",355.59,152,202,32.7
2006,99,"KING GEORGE",283.69,224,34,8.11
2006,135,"NOTTOWAY",359.15,149,55,8.73
2006,25,"BRUNSWICK",355.55,152,126,20.39
2006,161,"ROANOKE",231.61,276,82,24.1
2006,36,"CHARLES CITY",280.46,228,21,5.1
2006,550,"CHESAPEAKE CITY",345.81,162,189,32.6
2006,11,"APPOMATTOX",289.39,219,81,18.89
2006,73,"GLOUCESTER",302.85,205,58,12.66
2006,47,"CULPEPER",248.15,260,167,46.24
2006,105,"LEE",258.73,249,204,54.09
2006,193,"WESTMORELAND",328.76,179,122,23.25
2006,143,"PITTSYLVANIA",287.34,221,211,49.66
2006,117,"MECKLENBURG",339.26,169,236,42.47
2006,121,"MONTGOMERY",258.34,250,41,10.91
2006,89,"HENRY",322.04,186,40,7.92
2006,93,"ISLE OF WIGHT",334.61,173,44,8.11
2006,169,"SCOTT",345.46,163,180,31.24
2006,167,"RUSSELL",379.82,128,118,16.08
2006,59,"FAIRFAX",228.74,279,101,30.01
2006,31,"CAMPBELL",279.75,228,130,31.56
2006,157,"RAPPAHANNOCK",241.61,266,95,26.91
2006,23,"BOTETOURT",236.18,272,77,22.3
2006,197,"WYTHE",258.83,249,55,14.58
2006,43,"CLARKE",206.28,302,94,30.23
2006,83,"HALIFAX",292.68,215,223,51.05
2006,800,"SUFFOLK CITY",320.73,187,109,21.71
2006,113,"MADISON",275.17,233,72,17.86
2006,163,"ROCKBRIDGE",263.28,245,59,15.39
2006,810,"VIRGINIA BEACH CITY",353.79,154,65,10.66
2006,15,"AUGUSTA",279.48,229,199,48.53
2006,45,"CRAIG",250.75,257,30,8.21
2006,181,"SURRY",262.22,246,65,17.03
2006,159,"RICHMOND",308.18,200,21,4.47
2006,153,"PRINCE WILLIAM",215.12,293,89,27.77
2006,199,"YORK",290.97,217,41,9.47
2006,7,"AMELIA",322.16,186,109,21.59
2006,119,"MIDDLESEX",301.64,206,26,5.7
2006,109,"LOUISA",297.02,211,90,20.22
2006,111,"LUNENBURG",354.71,153,61,9.94
2006,115,"MATHEWS",352.12,156,19,3.16
2006,191,"WASHINGTON",364.21,144,155,23.77
2006,29,"BUCKINGHAM",303.45,205,26,5.68
2006,33,"CAROLINE",260.38,248,79,20.86
2006,53,"DINWIDDIE",320.31,188,115,23.02
2006,141,"PATRICK",301.02,207,134,29.54
2006,177,"SPOTSYLVANIA",238.79,269,79,22.63
2006,35,"CARROLL",263.36,245,60,15.65
2006,57,"ESSEX",290.1,218,39,9.05
2006,41,"CHESTERFIELD",314.9,193,46,9.45
2006,125,"NELSON",270.61,237,145,36.59
2006,147,"PRINCE EDWARD",306.31,202,60,12.91
2006,97,"KING AND QUEEN",270.16,238,64,16.22
2006,179,"STAFFORD",200.2,308,25,8.2
2006,107,"LOUDOUN",213.26,295,242,76.02
2006,71,"GILES",293.33,215,32,7.33
2006,1,"ACCOMACK",314.29,194,58,11.98
2006,127,"NEW KENT",295.04,213,18,4.08
2006,185,"TAZEWELL",378.87,129,29,3.98
2006,21,"BLAND",292.26,216,21,4.83
2006,91,"HIGHLAND",248.73,259,9,2.48
2006,61,"FAUQUIER",228.85,279,217,64.47
2006,69,"FREDERICK",225.29,283,159,47.92
2006,17,"BATH",264.89,243,19,4.92
2006,3,"ALBEMARLE",272.23,236,168,42.22
2006,51,"DICKENSON",333.98,174,12,2.22
2006,49,"CUMBERLAND",289.29,219,27,6.3
2006,85,"HANOVER",249.47,259,278,76.67
2006,81,"GREENSVILLE",322.97,185,9,1.77
2006,5,"ALLEGHANY",243.88,264,11,3.09
2006,165,"ROCKINGHAM",306.21,202,350,75.29
2006,171,"SHENANDOAH",256.2,252,125,33.54
2006,145,"POWHATAN",296.5,212,32,7.22
2006,175,"SOUTHAMPTON",357.72,150,90,14.38
2006,139,"PAGE",281.61,226,47,11.31
2006,133,"NORTHUMBERLAND",340.49,168,10,1.79
2006,75,"GOOCHLAND",275.02,233,32,7.94
2006,65,"FLUVANNA",300.74,207,61,13.45
2006,95,"JAMES CITY",293.12,215,27,6.18
2006,63,"FLOYD",241.48,267,196,55.73
2006,149,"PRINCE GEORGE",260.66,247,8,2.1
2006,77,"GRAYSON",305.64,202,77,16.56
2006,131,"NORTHAMPTON",342.65,165,48,8.43
2006,137,"ORANGE",265.78,242,53,13.66
2006,79,"GREENE",263.51,244,47,12.21
2006,195,"WISE",343.63,164,15,2.62
2006,183,"SUSSEX",281.2,227,25,6.04
2006,87,"HENRICO",306.62,201,49,10.49
2006,101,"KING WILLIAM",262.64,245,17,4.44
2006,103,"LANCASTER",313.37,195,12,2.49
2006,187,"WARREN",220.67,287,70,21.39
2006,9,"AMHERST",273.57,234,36,8.97
2006,155,"PULASKI",259.43,249,28,7.42
2006,19,"BEDFORD",269.09,239,159,40.47
2006,173,"SMYTH",352.16,156,66,10.96
2007,67,"FRANKLIN",249.5,258,242,66.49
2007,37,"CHARLOTTE",231.06,277,202,59.58
2007,99,"KING GEORGE",187.45,321,34,11.62
2007,135,"NOTTOWAY",243.11,265,55,15.52
2007,25,"BRUNSWICK",200.65,307,126,41.19
2007,161,"ROANOKE",235.72,272,82,23.75
2007,36,"CHARLES CITY",310.18,198,21,4.43
2007,550,"CHESAPEAKE CITY",297.57,210,189,42.26
2007,11,"APPOMATTOX",246.72,261,81,22.51
2007,73,"GLOUCESTER",265.47,243,58,15.01
2007,47,"CULPEPER",212.79,295,167,52.46
2007,105,"LEE",230.55,277,204,60.17
2007,193,"WESTMORELAND",175.57,332,122,43.13
2007,143,"PITTSYLVANIA",217.54,290,211,65.16
2007,117,"MECKLENBURG",191.51,316,236,79.41
2007,121,"MONTGOMERY",203.37,305,41,13.32
2007,89,"HENRY",240.14,268,40,11.42
2007,93,"ISLE OF WIGHT",255.19,253,44,11.85
2007,169,"SCOTT",270.35,238,180,45.62
2007,167,"RUSSELL",310.95,197,118,24.75
2007,59,"FAIRFAX",202.2,306,101,32.91
2007,31,"CAMPBELL",242.45,266,130,36.82
2007,157,"RAPPAHANNOCK",246.93,261,95,26.4
2007,23,"BOTETOURT",238.53,269,77,22.06
2007,197,"WYTHE",209.39,299,55,17.51
2007,43,"CLARKE",191.58,316,94,31.63
2007,83,"HALIFAX",215.03,293,223,69.58
2007,800,"SUFFOLK CITY",314.63,193,109,22.4
2007,113,"MADISON",289.26,219,72,16.79
2007,163,"ROCKBRIDGE",263.87,244,59,15.33
2007,810,"VIRGINIA BEACH CITY",250.71,257,65,17.79
2007,15,"AUGUSTA",263.68,244,199,51.71
2007,45,"CRAIG",239.52,268,30,8.56
2007,181,"SURRY",277.11,231,65,15.99
2007,159,"RICHMOND",219.4,289,21,6.46
2007,153,"PRINCE WILLIAM",206.26,302,89,28.62
2007,199,"YORK",278.94,229,41,10
2007,7,"AMELIA",245.76,262,109,30.41
2007,119,"MIDDLESEX",266.65,241,26,6.67
2007,109,"LOUISA",278.76,229,90,21.95
2007,111,"LUNENBURG",206.45,302,61,19.62
2007,115,"MATHEWS",252.32,256,19,5.18
2007,191,"WASHINGTON",290.22,218,155,35.98
2007,29,"BUCKINGHAM",272.59,235,26,6.51
2007,33,"CAROLINE",221.7,286,79,24.06
2007,53,"DINWIDDIE",266.9,241,115,29.51
2007,141,"PATRICK",276.37,232,134,33.1
2007,177,"SPOTSYLVANIA",240.3,268,79,22.55
2007,35,"CARROLL",257.15,251,60,16.04
2007,57,"ESSEX",212.84,295,39,12.25
2007,41,"CHESTERFIELD",254.63,253,46,12.39
