"Year","County_Code","name","PPT","Irrigation","Median_UnderTh","Unreported_Irrigation_based"
2006,1,"ACCOMACK",314.29,448,51.5,24.57
2006,127,"NEW KENT",295.04,467,15,7.46
2006,185,"TAZEWELL",378.87,383,29,11.83
2006,21,"BLAND",292.26,470,10,5
2006,91,"HIGHLAND",248.73,513,9,4.92
2006,61,"FAUQUIER",228.85,533,204.5,116.07
2006,69,"FREDERICK",225.29,537,90,51.46
2006,17,"BATH",264.89,497,7,3.7
2006,3,"ALBEMARLE",272.23,490,116.5,60.79
2006,51,"DICKENSON",333.98,428,12,5.47
2006,49,"CUMBERLAND",289.29,473,23,11.58
2006,85,"HANOVER",249.47,513,213,116.36
2006,81,"GREENSVILLE",322.97,439,5,2.34
2006,5,"ALLEGHANY",243.88,518,9.5,5.24
2006,165,"ROCKINGHAM",306.21,456,261.5,126.98
2006,171,"SHENANDOAH",256.2,506,105,56.58
2006,145,"POWHATAN",296.5,466,18,8.93
2006,175,"SOUTHAMPTON",357.72,404,21,9.03
2006,139,"PAGE",281.61,480,19.5,9.97
2006,133,"NORTHUMBERLAND",340.49,422,2,0.9
2006,75,"GOOCHLAND",275.02,487,21.5,11.15
2006,65,"FLUVANNA",300.74,461,27,13.25
2006,95,"JAMES CITY",293.12,469,15.5,7.74
2006,63,"FLOYD",241.48,521,127.5,70.74
2006,149,"PRINCE GEORGE",260.66,501,7,3.73
2006,77,"GRAYSON",305.64,456,41,19.91
2006,131,"NORTHAMPTON",342.65,419,45.5,20.3
2006,137,"ORANGE",265.78,496,45,23.77
2006,79,"GREENE",263.51,498,37,19.62
2006,195,"WISE",343.63,418,11,4.9
2006,183,"SUSSEX",281.2,481,15.5,7.94
2006,87,"HENRICO",306.62,455,26.5,12.84
2006,101,"KING WILLIAM",262.64,499,15.5,8.24
2006,103,"LANCASTER",313.37,449,12,5.74
2006,187,"WARREN",220.67,541,35,20.16
2006,9,"AMHERST",273.57,488,27,14.03
2006,155,"PULASKI",259.43,503,18.5,9.91
2006,19,"BEDFORD",269.09,493,52.5,27.56
2006,173,"SMYTH",352.16,410,33,14.41
2007,67,"FRANKLIN",249.5,512,123.5,67.33
2007,37,"CHARLOTTE",231.06,531,115,65.03
2007,99,"KING GEORGE",187.45,575,21,12.86
2007,135,"NOTTOWAY",243.11,519,38,21
2007,25,"BRUNSWICK",200.65,561,33,19.71
2007,161,"ROANOKE",235.72,526,62,34.73
2007,36,"CHARLES CITY",310.18,452,13.5,6.5
2007,550,"CHESAPEAKE CITY",297.57,464,62.5,30.88
2007,11,"APPOMATTOX",246.72,515,33.5,18.37
2007,73,"GLOUCESTER",265.47,497,48.5,25.67
2007,47,"CULPEPER",212.79,549,89,52.03
2007,105,"LEE",230.55,531,52,29.4
2007,193,"WESTMORELAND",175.57,586,58,36.19
2007,143,"PITTSYLVANIA",217.54,544,131,75.89
2007,117,"MECKLENBURG",191.51,570,83.5,50.68
2007,121,"MONTGOMERY",203.37,559,37.5,22.32
2007,89,"HENRY",240.14,522,26.5,14.73
2007,93,"ISLE OF WIGHT",255.19,507,25,13.5
2007,169,"SCOTT",270.35,492,53.5,28.03
2007,167,"RUSSELL",310.95,451,28,13.45
2007,59,"FAIRFAX",202.2,560,55,32.8
2007,31,"CAMPBELL",242.45,520,102.5,56.76
2007,157,"RAPPAHANNOCK",246.93,515,58.5,32.08
2007,23,"BOTETOURT",238.53,523,25,13.92
2007,197,"WYTHE",209.39,553,37,21.79
2007,43,"CLARKE",191.58,570,47,28.53
2007,83,"HALIFAX",215.03,547,102.5,59.7
2007,800,"SUFFOLK CITY",314.63,447,65,30.94
2007,113,"MADISON",289.26,473,53,26.7
2007,163,"ROCKBRIDGE",263.87,498,50.5,26.78
2007,810,"VIRGINIA BEACH CITY",250.71,511,47.5,25.85
2007,15,"AUGUSTA",263.68,498,189.5,100.49
2007,45,"CRAIG",239.52,522,14.5,8.06
2007,181,"SURRY",277.11,485,26,13.43
2007,159,"RICHMOND",219.4,543,16,9.25
